INFO 2016-09-22 16:22:36,841 Training start
INFO 2016-09-22 16:23:03,000 Training start
WARNING 2016-09-22 16:23:03,512 <tensorflow.python.ops.rnn_cell.BasicLSTMCell object at 0x7f14458afe90>: Using a concatenated state is slower and will soon be deprecated.  Use state_is_tuple=True.
INFO 2016-09-22 16:23:04,752 Sigmoid activation
INFO 2016-09-22 16:23:15,924 Mean loss in 0th epoch is: 17.2419910431
INFO 2016-09-22 16:23:16,234 Overall test accuracy is: 0.490825688073
INFO 2016-09-22 16:23:25,438 Mean loss in 1th epoch is: 1.50778222084
INFO 2016-09-22 16:23:25,552 Overall test accuracy is: 0.509174311927
INFO 2016-09-22 16:23:34,468 Mean loss in 2th epoch is: 0.742552638054
INFO 2016-09-22 16:23:34,577 Overall test accuracy is: 0.509174311927
INFO 2016-09-22 16:23:36,880 Mean loss in 3th epoch is: 0.69583940506
INFO 2016-09-22 16:23:36,984 Overall test accuracy is: 0.509174311927
INFO 2016-09-22 16:23:39,302 Mean loss in 4th epoch is: 0.692933380604
INFO 2016-09-22 16:23:39,411 Overall test accuracy is: 0.509174311927
INFO 2016-09-22 16:23:41,722 Mean loss in 5th epoch is: 0.692744076252
INFO 2016-09-22 16:23:41,825 Overall test accuracy is: 0.509174311927
INFO 2016-09-22 16:23:44,119 Mean loss in 6th epoch is: 0.692525923252
INFO 2016-09-22 16:23:44,222 Overall test accuracy is: 0.509174311927
INFO 2016-09-22 16:23:46,496 Mean loss in 7th epoch is: 0.692988455296
INFO 2016-09-22 16:23:46,605 Overall test accuracy is: 0.509174311927
INFO 2016-09-22 16:23:46,605 Normal Early stop
INFO 2016-09-22 16:23:46,605 Training complete
INFO 2016-09-22 16:26:50,914 Training start
WARNING 2016-09-22 16:26:51,561 <tensorflow.python.ops.rnn_cell.BasicLSTMCell object at 0x7f3614c02e90>: Using a concatenated state is slower and will soon be deprecated.  Use state_is_tuple=True.
INFO 2016-09-22 16:26:52,836 Sigmoid activation
INFO 2016-09-22 16:27:19,329 Mean loss in 0th epoch is: 2.88078355789
INFO 2016-09-22 16:27:20,156 Overall test accuracy is: 0.509174311927
INFO 2016-09-22 16:27:44,000 Mean loss in 1th epoch is: 0.693235337734
INFO 2016-09-22 16:27:44,677 Overall test accuracy is: 0.509174311927
INFO 2016-09-22 16:28:02,487 Mean loss in 2th epoch is: 0.699677228928
INFO 2016-09-22 16:28:03,129 Overall test accuracy is: 0.509174311927
INFO 2016-09-22 16:28:20,504 Mean loss in 3th epoch is: 0.698870360851
INFO 2016-09-22 16:28:21,151 Overall test accuracy is: 0.510321100917
INFO 2016-09-22 16:29:06,346 Training start
WARNING 2016-09-22 16:29:07,044 <tensorflow.python.ops.rnn_cell.BasicLSTMCell object at 0x7f37a6aafe90>: Using a concatenated state is slower and will soon be deprecated.  Use state_is_tuple=True.
INFO 2016-09-22 16:29:08,370 Sigmoid activation
INFO 2016-09-22 16:29:33,465 Mean loss in 0th epoch is: 107.71660614
INFO 2016-09-22 16:29:34,282 Overall test accuracy is: 0.509174311927
INFO 2016-09-22 16:29:56,653 Mean loss in 1th epoch is: 0.693359017372
INFO 2016-09-22 16:29:57,259 Overall test accuracy is: 0.509174311927
INFO 2016-09-22 16:30:12,985 Mean loss in 2th epoch is: 0.693072736263
INFO 2016-09-22 16:30:13,610 Overall test accuracy is: 0.509174311927
INFO 2016-09-22 16:30:29,439 Mean loss in 3th epoch is: 0.693949639797
INFO 2016-09-22 16:30:30,066 Overall test accuracy is: 0.509174311927
INFO 2016-09-22 16:30:45,868 Mean loss in 4th epoch is: 0.695021748543
INFO 2016-09-22 16:30:46,491 Overall test accuracy is: 0.509174311927
INFO 2016-09-22 16:31:02,048 Mean loss in 5th epoch is: 0.695866465569
INFO 2016-09-22 16:31:02,656 Overall test accuracy is: 0.490825688073
INFO 2016-09-22 16:31:18,278 Mean loss in 6th epoch is: 0.709628582001
INFO 2016-09-22 16:31:18,906 Overall test accuracy is: 0.506880733945
INFO 2016-09-22 16:31:18,907 Normal Early stop
INFO 2016-09-22 16:31:18,907 Training complete
INFO 2016-09-22 16:34:00,725 Training start
WARNING 2016-09-22 16:34:01,375 <tensorflow.python.ops.rnn_cell.BasicLSTMCell object at 0x7f21175d4e90>: Using a concatenated state is slower and will soon be deprecated.  Use state_is_tuple=True.
INFO 2016-09-22 16:34:02,637 Sigmoid activation
INFO 2016-09-22 16:34:28,854 Mean loss in 0th epoch is: 56.3918800354
INFO 2016-09-22 16:34:29,661 Overall test accuracy is: 0.511467889908
INFO 2016-09-22 16:34:53,430 Mean loss in 1th epoch is: 11.4848947525
INFO 2016-09-22 16:34:54,054 Overall test accuracy is: 0.518348623853
INFO 2016-09-22 16:35:17,344 Mean loss in 2th epoch is: 106.765983582
INFO 2016-09-22 16:35:17,982 Overall test accuracy is: 0.509174311927
INFO 2016-09-22 16:35:35,029 Mean loss in 3th epoch is: 14.7874031067
INFO 2016-09-22 16:35:35,665 Overall test accuracy is: 0.510321100917
INFO 2016-09-22 16:35:52,748 Mean loss in 4th epoch is: 7.24359130859
INFO 2016-09-22 16:35:53,396 Overall test accuracy is: 0.490825688073
INFO 2016-09-22 16:36:10,484 Mean loss in 5th epoch is: 5.80972576141
INFO 2016-09-22 16:36:11,113 Overall test accuracy is: 0.490825688073
INFO 2016-09-22 16:36:28,438 Mean loss in 6th epoch is: 11.733259201
INFO 2016-09-22 16:36:29,053 Overall test accuracy is: 0.511467889908
INFO 2016-09-22 16:36:46,011 Mean loss in 7th epoch is: 4.70228719711
INFO 2016-09-22 16:36:46,631 Overall test accuracy is: 0.474770642202
INFO 2016-09-22 16:36:46,631 Normal Early stop
INFO 2016-09-22 16:36:46,631 Training complete
INFO 2016-09-22 16:37:27,514 Training start
WARNING 2016-09-22 16:37:27,961 <tensorflow.python.ops.rnn_cell.BasicLSTMCell object at 0x7f34ec269e90>: Using a concatenated state is slower and will soon be deprecated.  Use state_is_tuple=True.
INFO 2016-09-22 16:37:29,202 Sigmoid activation
INFO 2016-09-22 16:37:54,143 Mean loss in 0th epoch is: 358.539215088
INFO 2016-09-22 16:37:59,065 Overall training accuracy is: 0.515028901734
INFO 2016-09-22 16:37:59,657 Overall test accuracy is: 0.512614678899
INFO 2016-09-22 16:38:21,713 Mean loss in 1th epoch is: 1002.25537109
INFO 2016-09-22 16:38:26,372 Overall training accuracy is: 0.48901734104
INFO 2016-09-22 16:38:26,971 Overall test accuracy is: 0.493119266055
INFO 2016-09-22 16:38:42,725 Mean loss in 2th epoch is: 931.254943848
INFO 2016-09-22 16:38:47,291 Overall training accuracy is: 0.522398843931
INFO 2016-09-22 16:38:47,918 Overall test accuracy is: 0.514908256881
INFO 2016-09-22 16:39:10,172 Mean loss in 3th epoch is: 871.788330078
INFO 2016-09-22 16:39:14,861 Overall training accuracy is: 0.48323699422
INFO 2016-09-22 16:39:15,476 Overall test accuracy is: 0.494266055046
